Day,Month,Year,Number of Exposure,Decimal Year,Exposure Time,FWHM,Airmass,Star 1 Counts,Star 2 Counts,Star 3 Counts,Mrk 1018 Counts
22.0,12.0,2021.0,2.0,2021.9741615331966,4800.0,3.091596983609134,1.1413687848704808,3838376.2789311195,3921532.6973704477,1346299.595927531,484654.17110809754
22.0,12.0,2021.0,3.0,2021.9741615331966,4800.0,3.137040275680798,1.2498747869822584,3688494.316306867,3764106.386641772,1291608.397031528,449237.84444673406
22.0,12.0,2021.0,4.0,2021.9741615331966,4800.0,2.8035402399335436,1.5971745727418067,3216292.1686395453,3276031.0145546896,1127096.9894278646,393993.0973270298
